                                                movie        year  timeMin  imdb    metascore      votes us_grossMillions
40                                  Léon: The Professional      (1994)  110 min   8.6  64          1,120,435          $19.50M
41                                              The Father  (I) (2020)   97 min   8.3  88            131,001             #130
42                                               Tombstone      (1993)  130 min   7.8  50            142,951          $56.51M
43                                              La La Land      (2016)  128 min   8.0  94            561,538         $151.10M
44                                      Back to the Future      (1985)  116 min   8.6  87          1,153,690         $210.61M
45                                                Hamilton      (2020)  160 min   8.4  90             85,318             #112
46           The Lord of the Rings: The Return of the King      (2003)  201 min   9.0  94          1,768,153         $377.85M
47                                            The Irishman      (2019)  209 min   7.8  94            368,971           $7.00M
48                                 The Godfather: Part III      (1990)  162 min   7.6  60            385,568          $66.67M
49                                            Ghostbusters      (1984)  105 min   7.8  71            402,772         $238.63M                                           movie        year  timeMin  imdb   metascore      votes us_grossMillions
0                                            Her      (2013)  126 min   8.0  91            588,412          $25.57M
1                                 Shutter Island      (2010)  138 min   8.2  63          1,249,388         $128.01M
2                                          Moana  (I) (2016)  107 min   7.6  81            317,559         $248.76M
3                                          Alien      (1979)  117 min   8.5  89            849,080          $78.90M
4                                    Man on Fire      (2004)  146 min   7.7  47            354,962          $77.91M
5                             The Imitation Game      (2014)  114 min   8.0  71            743,894          $91.13M
6                                 Thor: Ragnarok      (2017)  130 min   7.9  74            689,746         $315.06M
7                                 The Blind Side      (2009)  129 min   7.6  53            321,281         $255.96M
8                                The Sixth Sense      (1999)  107 min   8.2  64            964,777         $293.51M
9                       The Pursuit of Happyness      (2006)  117 min   8.0  64            492,785         $163.57M
10                                           300      (2006)  117 min   7.6  52            799,241         $210.61M
11                                  12 Angry Men      (1957)   96 min   9.0  96            759,062           $4.36M
12                                   Baby Driver      (2017)  113 min   7.6  86            507,339         $107.83M
13                                   The Shining      (1980)  146 min   8.4  66            979,193          $44.02M
14                                 The Big Short      (2015)  130 min   7.8  81            412,924          $70.26M
15                                      Iron Man      (2008)  126 min   7.9  79          1,020,764         $318.41M
16                            The Princess Bride      (1987)   98 min   8.0  77            419,475          $30.86M
17           Harry Potter and the Goblet of Fire      (2005)  157 min   7.7  81            603,534         $290.01M
18                                   The Goonies      (1985)  114 min   7.7  62            263,621          $61.50M
19                 Mission: Impossible - Fallout      (2018)  147 min   7.7  86            319,247         $220.16M
20  Harry Potter and the Deathly Hallows: Part 2      (2011)  130 min   8.2  85            839,917         $381.01M
21                                   The Martian      (2015)  144 min   8.0  80            823,469         $228.43M
22                      The Grand Budapest Hotel      (2014)   99 min   8.1  88            776,240          $59.10M
23                            A Clockwork Orange      (1971)  136 min   8.3  77            806,285           $6.21M
24                              12 Years a Slave      (2013)  134 min   8.1  96            682,853          $56.67M
25                                  Training Day      (2001)  122 min   7.7  69            422,121          $76.63M
26                            The Usual Suspects      (1995)  106 min   8.5  77          1,056,444          $23.34M
27                                      Zootopia      (2016)  108 min   8.0  78            478,385         $341.27M
28                                   Ratatouille      (2007)  111 min   8.1  96            696,531         $206.45M
29                                   Stand by Me      (1986)   89 min   8.1  75            391,188          $52.29M
30                                      Scarface      (1983)  170 min   8.3  65            806,203          $45.60M
31             The Hobbit: An Unexpected Journey      (2012)  169 min   7.8  58            800,851         $303.00M
32                                 The Lion King      (1994)   88 min   8.5  88          1,018,123         $422.78M
33                            The Social Network      (2010)  120 min   7.8  95            679,484          $96.96M
34                                         Drive  (I) (2011)  100 min   7.8  78            614,283          $35.06M
35                                  The Avengers      (2012)  143 min   8.1  69          1,347,665         $623.28M
36                                         Shrek      (2001)   90 min   7.9  84            656,406         $267.67M
37                                 Spirited Away      (2001)  125 min   8.6  96            726,391          $10.06M
38                             L.A. Confidential      (1997)  138 min   8.3  90            568,843          $64.62M
39                            Dallas Buyers Club      (2013)  117 min   8.0  79            475,301          $27.30M
40                                       Memento      (2000)  113 min   8.5  80          1,202,031          $25.54M
41                                          Argo      (2012)  120 min   7.7  86            603,274         $136.03M
42                               The Truman Show      (1998)  103 min   8.2  90          1,028,572         $125.62M
43                                The Handmaiden      (2016)  145 min   8.1  84            136,929           $2.01M
44                                  The Hangover      (2009)  100 min   7.7  73            764,051         $277.32M
45                                        Zodiac      (2007)  157 min   7.7  78            520,377          $33.08M
46               One Flew Over the Cuckoo's Nest      (1975)  133 min   8.7  84            978,927         $112.00M
47                                     Atonement      (2007)  123 min   7.8  85            271,159          $50.93M
48                                          Jaws      (1975)  124 min   8.1  87            579,289         $260.00M
49                                    Wind River      (2017)  107 min   7.7  73            241,162          $33.80M                                            movie         year  timeMin  imdb    metascore      votes us_grossMillions
0                                         Arrival  (II) (2016)  116 min   7.9   81            665,359         $100.55M
1                                          Aliens       (1986)  137 min   8.4   84            696,502          $85.16M
2                               Full Metal Jacket       (1987)  116 min   8.3   76            720,524          $46.36M
3                              Lawrence of Arabia       (1962)  218 min   8.3  100            286,777          $44.82M
4       Three Billboards Outside Ebbing, Missouri       (2017)  115 min   8.1   88            486,782          $54.51M
5                                           Crash   (I) (2004)  112 min   7.8   66            432,436          $54.58M
6                               The Hateful Eight       (2015)  168 min   7.8   68            574,684          $54.12M
7                                The Last Emperor       (1987)  163 min   7.7   76            101,243          $43.98M
8                     Once Upon a Time in America       (1984)  229 min   8.4   75            340,966           $5.32M
9                       What We Do in the Shadows       (2014)   86 min   7.7   76            176,457           $3.33M
10     Star Wars: Episode VII - The Force Awakens       (2015)  138 min   7.9   80            905,458         $936.66M
11                                           Coco   (I) (2017)  105 min   8.4   81            471,276         $209.73M
12                                   Office Space       (1999)   89 min   7.7   68            259,210          $10.82M
13                                         Oldboy       (2003)  120 min   8.4   77            558,851           $0.71M
14                                     Black Swan       (2010)  108 min   8.0   79            742,882         $106.95M
15                The Girl with the Dragon Tattoo       (2011)  158 min   7.8   71            453,550         $102.52M
16                        Silver Linings Playbook       (2012)  122 min   7.7   81            696,287         $132.09M
17                                   Donnie Darko       (2001)  113 min   8.0   88            780,576           $1.48M
18       Harry Potter and the Prisoner of Azkaban       (2004)  142 min   7.9   82            610,069         $249.36M
19                                         Snatch       (2000)  102 min   8.3   55            833,080          $30.33M
20                                       Jai Bhim       (2021)  164 min   9.4            0    184,626                -
21                                   Nightcrawler       (2014)  117 min   7.9   76            518,872          $32.38M
22     Star Wars: Episode VI - Return of the Jedi       (1983)  131 min   8.3   58          1,016,157         $309.13M
23                                 Reservoir Dogs       (1992)   99 min   8.3   79            985,906           $2.83M
24                                    The Pianist       (2002)  150 min   8.6   85            800,628          $32.57M
25                                  Casino Royale       (2006)  144 min   8.0   80            641,517         $167.45M
26                               The Big Lebowski       (1998)  117 min   8.1   71            787,043          $17.50M
27                              Kill Bill: Vol. 1       (2003)  111 min   8.2   69          1,078,486          $70.10M
28                                     Casablanca       (1942)  102 min   8.5  100            557,195           $1.02M
29                             Brokeback Mountain       (2005)  134 min   7.7   87            348,541          $83.04M
30                   Rogue One: A Star Wars Story       (2016)  133 min   7.8   65            601,830         $532.18M
31                                   True Romance       (1993)  119 min   7.9   59            222,250          $12.28M
32                 The Good, the Bad and the Ugly       (1966)  178 min   8.8   90            739,100           $6.10M
33                     Blue Is the Warmest Colour       (2013)  180 min   7.7   89            148,687           $2.20M
34                                          Fargo       (1996)   98 min   8.1   85            661,162          $24.61M
35                             Dead Poets Society       (1989)  128 min   8.1   79            468,575          $95.86M
36                          2001: A Space Odyssey       (1968)  149 min   8.3   84            648,452          $56.95M
37                                           Soul       (2020)  100 min   8.1   83            305,397                -
38                                       Sin City       (2005)  124 min   8.0   74            758,616          $74.10M
39                                   The Notebook       (2004)  123 min   7.8   53            555,844          $81.00M
40                                   The Revenant       (2015)  156 min   8.0   76            773,406         $183.64M
41                          Manchester by the Sea       (2016)  137 min   7.8   96            271,990          $47.70M
